@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute features-1 numeric
@attribute features-2 numeric
@attribute features-3 numeric
@attribute features-4 numeric
@attribute features-5 numeric
@attribute features-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
2096,'2025/11/27 11:07:06:525',21,4.42134,0.095942,4.412101,0.004727,0.584375,0.997222,0,0,0,0.6
2097,'2025/11/27 11:07:06:536',21,4.42134,0.095942,4.412101,0.004727,0.584375,0.997222,0,0,0,0.6
2098,'2025/11/27 11:07:06:554',21,4.42134,0.095942,4.412101,0.004727,0.584375,0.997222,0,0,0,0.6
2099,'2025/11/27 11:07:06:729',21,4.399216,0.094362,4.437671,0.022124,0.584375,0.997222,0,0,0,0.6
2100,'2025/11/27 11:07:06:758',21,4.399216,0.094362,4.437671,0.022124,0.584375,0.997222,0,0,0,0.6
2101,'2025/11/27 11:07:06:771',21,4.399216,0.094362,4.437671,0.022124,0.584375,0.997222,0,0,0,0.6
2102,'2025/11/27 11:07:06:947',21,4.413878,0.096532,4.707777,0.014662,0.584375,0.997222,0,0,0,0.6
2103,'2025/11/27 11:07:06:962',21,4.413878,0.096532,4.707777,0.014662,0.584375,0.997222,0,0,0,0.6
2104,'2025/11/27 11:07:06:976',21,4.413878,0.096532,4.707777,0.014662,0.584375,0.997222,0,0,0,0.6
2105,'2025/11/27 11:07:07:157',21,4.396197,0.094679,4.553927,0.017681,0.584375,0.997222,0,0,0,0.6
2106,'2025/11/27 11:07:07:182',21,4.396197,0.094679,4.553927,0.017681,0.584375,0.997222,0,0,0,0.6
2107,'2025/11/27 11:07:07:197',21,4.396197,0.094679,4.553927,0.017681,0.584375,0.997222,0,0,0,0.6
2108,'2025/11/27 11:07:07:399',21,4.426876,0.092743,4.564935,0.030678,0.585938,0.997222,0,0,0,0.6
2109,'2025/11/27 11:07:07:418',21,4.426876,0.092743,4.564935,0.030678,0.585938,0.997222,0,0,0,0.6
2110,'2025/11/27 11:07:07:434',21,4.426876,0.092743,4.564935,0.030678,0.585938,0.997222,0,0,0,0.6
2111,'2025/11/27 11:07:07:608',21,4.393925,0.091159,4.578919,0.032951,0.582812,0.997222,0,0,0,0.6
2112,'2025/11/27 11:07:07:624',21,4.393925,0.091159,4.578919,0.032951,0.582812,0.997222,0,0,0,0.6
2113,'2025/11/27 11:07:07:638',21,4.393925,0.091159,4.578919,0.032951,0.582812,0.997222,0,0,0,0.6
2114,'2025/11/27 11:07:07:816',21,4.385536,0.091762,4.564832,0.008389,0.584375,0.997222,0,0,0,0.6
2115,'2025/11/27 11:07:07:843',21,4.385536,0.091762,4.564832,0.008389,0.584375,0.997222,0,0,0,0.6
2116,'2025/11/27 11:07:07:857',21,4.385536,0.091762,4.564832,0.008389,0.584375,0.997222,0,0,0,0.6
2117,'2025/11/27 11:07:08:032',21,4.406089,0.092127,4.448584,0.020553,0.584375,0.997222,0,0,0,0.6
2118,'2025/11/27 11:07:08:045',21,4.406089,0.092127,4.448584,0.020553,0.584375,0.997222,0,0,0,0.6
2119,'2025/11/27 11:07:08:071',21,4.406089,0.092127,4.448584,0.020553,0.584375,0.997222,0,0,0,0.6
2120,'2025/11/27 11:07:08:264',21,4.387549,0.093624,4.559319,0.01854,0.585938,0.997222,0,0,0,0.6
2121,'2025/11/27 11:07:08:279',21,4.387549,0.093624,4.559319,0.01854,0.585938,0.997222,0,0,0,0.6
2122,'2025/11/27 11:07:08:310',21,4.387549,0.093624,4.559319,0.01854,0.585938,0.997222,0,0,0,0.6
2123,'2025/11/27 11:07:08:500',21,4.37716,0.094006,4.673245,0.010389,0.584375,0.997222,0,0,0,0.6
2124,'2025/11/27 11:07:08:512',21,4.37716,0.094006,4.673245,0.010389,0.584375,0.997222,0,0,0,0.6
2125,'2025/11/27 11:07:08:528',21,4.37716,0.094006,4.673245,0.010389,0.584375,0.997222,0,0,0,0.6
2126,'2025/11/27 11:07:08:701',21,4.415731,0.09352,4.586527,0.038572,0.584375,0.997222,0,0,0,0.6
2127,'2025/11/27 11:07:08:714',21,4.415731,0.09352,4.586527,0.038572,0.584375,0.997222,0,0,0,0.6
2128,'2025/11/27 11:07:08:731',21,4.415731,0.09352,4.586527,0.038572,0.584375,0.997222,0,0,0,0.6
2129,'2025/11/27 11:07:08:907',21,4.424881,0.092196,4.352484,0.00915,0.584375,0.997222,0,0,0,0.6
2130,'2025/11/27 11:07:08:932',21,4.424881,0.092196,4.352484,0.00915,0.584375,0.997222,0,0,0,0.6
2131,'2025/11/27 11:07:08:950',21,4.424881,0.092196,4.352484,0.00915,0.584375,0.997222,0,0,0,0.6
2132,'2025/11/27 11:07:09:124',21,4.365905,0.091359,4.325003,0.058976,0.582812,0.997222,0,0,0,0.6
2133,'2025/11/27 11:07:09:137',21,4.365905,0.091359,4.325003,0.058976,0.582812,0.997222,0,0,0,0.6
2134,'2025/11/27 11:07:09:154',21,4.365905,0.091359,4.325003,0.058976,0.582812,0.997222,0,0,0,0.6
2135,'2025/11/27 11:07:09:328',21,4.3897,0.093993,4.567896,0.023795,0.584375,0.997222,0,0,0,0.6
2136,'2025/11/27 11:07:09:343',21,4.3897,0.093993,4.567896,0.023795,0.584375,0.997222,0,0,0,0.6
2137,'2025/11/27 11:07:09:356',21,4.3897,0.093993,4.567896,0.023795,0.584375,0.997222,0,0,0,0.6
2138,'2025/11/27 11:07:09:531',21,4.435075,0.095937,4.639528,0.045375,0.584375,0.997222,0,0,0,0.6
2139,'2025/11/27 11:07:09:545',21,4.435075,0.095937,4.639528,0.045375,0.584375,0.997222,0,0,0,0.6
2140,'2025/11/27 11:07:09:574',21,4.435075,0.095937,4.639528,0.045375,0.584375,0.997222,0,0,0,0.6
2141,'2025/11/27 11:07:09:764',21,4.447238,0.094345,4.567413,0.012163,0.584375,0.997222,0,0,0,0.6
2142,'2025/11/27 11:07:09:782',21,4.447238,0.094345,4.567413,0.012163,0.584375,0.997222,0,0,0,0.6
2143,'2025/11/27 11:07:09:795',21,4.447238,0.094345,4.567413,0.012163,0.584375,0.997222,0,0,0,0.6
2144,'2025/11/27 11:07:09:973',21,4.388197,0.093767,4.474724,0.059041,0.584375,0.997222,0,0,0,0.6
2145,'2025/11/27 11:07:09:998',21,4.388197,0.093767,4.474724,0.059041,0.584375,0.997222,0,0,0,0.6
2146,'2025/11/27 11:07:10:013',21,4.388197,0.093767,4.474724,0.059041,0.584375,0.997222,0,0,0,0.6
2147,'2025/11/27 11:07:10:187',21,4.394413,0.087986,4.453979,0.006216,0.584375,0.997222,0,0,0,0.6
2148,'2025/11/27 11:07:10:198',21,4.394413,0.087986,4.453979,0.006216,0.584375,0.997222,0,0,0,0.6
2149,'2025/11/27 11:07:10:214',21,4.394413,0.087986,4.453979,0.006216,0.584375,0.997222,0,0,0,0.6
2150,'2025/11/27 11:07:10:391',21,4.363597,0.08826,4.566008,0.030816,0.582812,0.997222,0,0,0,0.6
2151,'2025/11/27 11:07:10:418',21,4.363597,0.08826,4.566008,0.030816,0.582812,0.997222,0,0,0,0.6
2152,'2025/11/27 11:07:10:433',21,4.363597,0.08826,4.566008,0.030816,0.582812,0.997222,0,0,0,0.6
2153,'2025/11/27 11:07:10:610',21,4.382266,0.090421,4.555869,0.018668,0.584375,0.997222,0,0,0,0.6
2154,'2025/11/27 11:07:10:636',21,4.382266,0.090421,4.555869,0.018668,0.584375,0.997222,0,0,0,0.6
